suggestion,total_search_volume,avg_cpc
tribit earbuds,96800,0.63
tribit xfree go,89100,0.3
tribit quietplus 72,84700,0.0
tribit headphones,64800,0.36
tribit stormbox blast,23200,1.04
tribit ear buds,12100,0.33
tribit stormbox micro 2,10400,0.94
tribit xsound go,10000,0.4699999999999999
tribit stormbox,9600,0.8000000000000002
tribit,9600,0.43
tribit flybuds 3,7920,0.68
tribit speaker,7600,0.6
tribit stormbox blast 2,4720,0.78
tribit stormbox pro,3120,0.69
tribit stormbox 2,3120,0.44
tribit maxsound plus,3120,0.51
tribit stormbox micro,1920,0.84
tribit bluetooth speaker,1920,0.65
tribit xsound plus 2,1680,0.5
tribit stormbox flow,1680,0.55
