"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","descriptionLinks/4/text","descriptionLinks/4/url","descriptionLinks/5/text","descriptionLinks/5/url","descriptionLinks/6/text","descriptionLinks/6/url","descriptionLinks/7/text","descriptionLinks/7/url","descriptionLinks/8/text","descriptionLinks/8/url","descriptionLinks/9/text","descriptionLinks/9/url","descriptionLinks/10/text","descriptionLinks/10/url","duration","hasCreatorHeart","hashtags/0","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@timwindsor03","false",,,,,"Ugz0oocCM2w0-h60v8V4AaABAg","Incredible video brother.  Nice speaker. Thanks for sharing.  Keep the products coming.  Hope you have an incredible day.  Much love and RESPECT.  Prayers up bro",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","5 months ago","0",,,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","comment",,"TY7dGyZ6VhA",,"0"
"@TresAlacranes","false",,,,,"UgyonjBEaXk5h3uduNl4AaABAg","Looks like a solid speaker. Great video!",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","5 months ago","0",,,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","comment",,"TY7dGyZ6VhA",,"0"
"@BJPerryJr","false",,,,,"UgyM99ZwJugFf1d26At4AaABAg","Yo what's up homie? Hope all is good. I've always been curious about this speaker so I'm glad to see you review it. Thanks man 💯💪👍",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","5 months ago","2",,,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","comment",,"TY7dGyZ6VhA",,"1"
"@jeffhale1189","false",,,,,"Ugz1wKXTaVBh29ucNeZ4AaABAg","Thanks for sharing. Nice speaker. Microphone okay. Blessings on your day.",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","4 months ago","0",,,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","comment",,"TY7dGyZ6VhA",,"0"
"@TimG-lb1nh","false",,,,,"Ugzp9RQwHJbFO7fqjV54AaABAg","Looks perfect to take on my bike. Saved it to my cart to hopefully catch a few bucks off on prime day. Thank you!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"5"
"@Lethalmovieclips","false",,,,,"UgwWf2-C89r8qQYXMZ14AaABAg","Sounds good! I know what I m buying come friday. Thank you!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"2"
"@Metalguy08","false",,,,,"UgwXleL8Hs9QSOOf_Ph4AaABAg","Listening in my marshall emberton. Sounds good. Now one of my choices this december.",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","4 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@SirChefsVlogs01","false",,,,,"UgxTWSaut4aQBzcgj1Z4AaABAg","I have this, updated firmware, application nice for listening music and best for Watching movies too, you have an instant mini home theater, i just finished watching Captain America and Tom Cruise Movie! 👍 really Bang for the buck!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","8 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"1"
"@kastiyomano","false",,,,,"Ugyni_dOJPBW1WDjfy54AaABAg","Perfect thing to get with my birthday gift cards. Thank you!!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"1"
"@sanitsharma6711","false",,,,,"UgxD1FjG54PYGF-xpl14AaABAg","Tribit Strombox 2 vs Tribit XSound Plus 2 which is best ? 
I like loud music with deep bass 
Which one should I go for ?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","7 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"2"
