国家站点,ASIN,评论ID,评论标题,属性,评论内容,VP标识,星级,作者,评论时间
US,B07594HZ6Y,R3LG8MXKJVFN5X,Sad really sad I am about through with Tribit,Color: Black,"Got the speakers a d found out they had a stereo mode if you connected two. Bought a second one and tried. It initially worked, and loved tbe results so much bought a second Storm.
<br>
<br>A voila it stopper working in stereo mode. Like their apps, just gets Bluetooth confused and will not enter into stereo mode, after resetting the speakers and doing a full ininstall and reinstall.
<br>
<br>As mentioned in a previous review -their programmers are useless when it comes to Bluetooth and cannot competently utilize the features regardless of platform. For me, has failed on both iOS and Windows 11 systems. Don't ask for technical assistance, to get any you have to submit more psperwork than the US government requires for taxes.
<br>
<br>I do like the sound tbeir products generate, but cannot deal with the constant and daily Bluetooth hickups trying to get them to work. Again no help from corporate. You should not have to do this much troubleshooting to get their products to work day-to-day.
<br>
<br>In the market for good sound and a reliable speaker system that works on all or any platform: Windows, iOS, or Android. Tribit is not it. I am ooking for recommendations. Returns are in my plans for what I can send back.",是,1,Robert A. Johnson,2025-02-20
US,B07594HZ6Y,RXUIF61POHO3L,Nice little speaker!,Color: Black,"The only gripe I have is the lack of higher tones/treble. It is surprisingly good with the bass notes for its size and the volume is very nice/loud. The battery life seems to be very good, after watching two movies the battery is at 70%, not bad at all. For the price this speaker would be tough to beat. Over all I am happy with the Tribit speaker an it's built like a little tank. The C-port charging is another plus an it sounds WAY better then my JBL GO 3, but then again its bigger with two tinny speakers.",是,5,Mother of 1,2025-02-19
US,B07594HZ6Y,RJ5OQ1ZURXGN2,Easy to connect and great volume and sound,Color: Black,"Bought this to replace spaghetti of wiring to get remote sound for den TV. Family said I had volume too high at night. This little Bluetooth speaker was super easy to connect to TV. Bass is great as well as highs. Love to be able to move speaker around as I work on different projects. Having volume control built-in eliminates having to carry remote also. Battery lasts several hours, longer than I am away from desk. Great performance.",是,5,JHPArizona,2025-02-18
US,B07594HZ6Y,R1QOQVE3VR366R,Beware: Fails After a Couple Years,Color: Black,"I've had three of these speakers. They all failed in different ways after 2-3 years of very occasional use, all indoors. Vendor will not replace after warranty period, even if there was a clear manufacturing defect. Beware!",否,1,Larry Bolef,2025-02-17
US,B07594HZ6Y,R2EFCZYSQ1PV9E,"SMALL, BUT POWERFUL",Color: Black,WORKS GREAT. LOVE IT!!! GREAT PURCHASE. HIGHLY RECOMMEND IT.,是,5,KEVIN MARSHALL,2025-02-15
US,B07594HZ6Y,R1Z1NBJGASQQO4,Decent but not great,Color: Black,tried the speaker for about 1 hour. Decent but not great. Heavy on that treble side and bass is not as deep as it could be. Give it a solid 3 out of 5 stars. Volume level good. It's on par with the oonz original speaker. Not bad for a $30 speaker but pass if you're looking for bass that bumps.,是,3,Frank MTB,2025-02-15
US,B0CXPQVMP6,R1D9W88CLMHBF,Worth it!!,Color: Red,Great sound and battery life - and the cutest speaker I have to date!! Exactly what I needed.,是,5,Joanne S.,2025-02-12
US,B07594HZ6Y,R50CVK309QBM,Very surprised,Color: Black,"This little speaker kicks out some very good, clear sound. People were commenting on how good it sounds and the volume it puts out. Very easy to set up. It's very portable as it isn't too large. Very happy with this purchase.",是,5,S Krause,2025-02-11
US,B07594HZ6Y,RI7J77GAMOFTV,Ok,Color: Black,Does the job.,是,4,Kopper,2025-02-10
US,B07594HZ6Y,R3KH3B44QQ61F9,Amazing Sound for the Price,Color: Black,"I've purchased a few portable desktop speakers for my home office and this the best one by far. Was looking to spend around $30 and for that price the sound has been pretty bad, until this one! Awesome quality and gets really loud too.",是,5,Elisa C.,2025-02-09
US,B07594HZ6Y,R188DLCJQ5G36,Ok,Color: Black,"Sound wasnt6great, but acceptable for in an off road vehicle.",是,4,Azlandman,2025-02-09
US,B07594HZ6Y,R194F9AR7E6BVA,TOTAL WASTE OF MONEY,Color: Black,They worked just fine the first day. But after that they failed to fuinction at all! And the function control buttons are a freaking joke!!! You need a microscope to see and use them! There is NOTHING about this speaker I would ever recommend!!!,是,1,Marilyn T Banks,2025-02-09
US,B07594HZ6Y,R1X0YN8P6MYJ1Q,Surprisingly good sound quality and construction.,Color: Black,I bought the Tribit XSound as a speaker to connect via cable to a Raspberry Pi 4 project. I was so impressed with the quality of the build and the sound quality I now use it with my Pixel Tablet via Bluetooth. Given the price and quality it's definitely a good value.,是,5,DaveDubya,2025-02-08
US,B07594HZ6Y,R3DMFZSAP77967,Great value,Color: Black,"This speaker sounds great, and I've been using it almost daily for a couple of years now and haven't had a single problem with it.",是,5,Stephen Rudolph,2025-02-07
US,B07594HZ6Y,R1EBQUY5WGOU0C,a more than worthwhile purchase,Color: Black,this 30 dollar speaker performs better than my old 100 dollar jbl speaker. the battery life is great and all audio is extremely high quality. id say this is worth every penny they have priced it for,是,5,Johnathan,2025-02-07
US,B07594HZ6Y,R2NW9JQ2NUVFZX,Clear sound with nice bass,Color: Black,I’ve been very impressed with this speaker! Nice clear sound with good bass. Much better than my previous Bluetooth speaker. The battery life is also very good.,是,5,Shea,2025-02-06
US,B07594HZ6Y,R3U8FLS3HXXEO6,"Clear, crisp, High Fidelity sound, although not a lot of bass",Color: Black,"These little guys sound fantastic. They don't quite have the bass punch that other speakers have, but it's still pretty good. But what sold me on these speakers was there overall mid-range clarity and the high frequency response. I also bought the bigger brother of these, which sacrificed the high end and mid-range to punch up the bass. This sounded so much better than the big brother, so I returned it and kept these. I can highly recommend this little speaker.",是,5,P. McK,2025-02-06
US,B07594HZ6Y,R3AEIIMSM2ZUO4,Far exceeded sound quality expectations!,Color: Black,"Bought this to use for office virtual meetings, but WOW! This little speaker puts out legit quality audio. Well balance highs, mids, and lows. Surprised at the bass quality for such a small speaker at a low cost. Very satisfied with this purchase and highly recommend.",是,5,Matthew Evans,2025-02-01
US,B07594HZ6Y,R3KADAL01NDY97,Believe the hype.,Color: Black,"Bought this for the bathroom when I'm showering after reading some reviews and figured why not, even if it sucks I'm not out on the street with a cup in my hand. From the moment I connected it to my phone and started playing music on the YouTube app, I bwas BLOWN AWAY. This little thing packs a surprisingly hard punch and the music comes out so crisp and clear. I am very impressed with the performance and I haven't even broken it in yet. Highly recommended!",是,5,Mork,2025-02-01
