国家站点,ASIN,评论ID,评论标题,属性,评论内容,VP标识,星级,作者,评论时间
US,B0CW933QSJ,R1PKUIIA4ZG14,muy bueno ,,"altavoz con un aspecto resistente y compacto, buen sonido en altos , no distorsiona , bien por la aplicación.
<br>diseño sencillo y sobrio.",是,5,Pipe,2025-02-08
US,B0CW933QSJ,R3CR0L1HHL4A1T,Great sound,,Great sound. Have now bought two and everyone in the family takes it and uses it everywhere from the shower to camping. Nice compact size and battery lasts a long time.,是,5,Natalie Peterson,2025-02-08
US,B0CW933QSJ,R21KGRG1Z3F224,Great little speaker,,"Solidly built. It's sturdy, but compact. I think it's a good value, especially when on sale. Bluetooth connection was easy. Sound is great considering the size. We use it when we're out in the pool and it's loud enough to her over the noise. It's waterproof, so we don't have to worry if it starts to rain or if it gets splashed. Battery life is good, we haven't had it go out on us on a pool day yet.",否,5,J&S,2025-02-06
US,B0CW933QSJ,R2R88621CQCCEB,Still Jammin after 6 years,,Still Jammin after 6 years of getting the heck beat out of it from mechanic's shop to out doors.,否,5,Khrystal T.,2025-01-24
US,B0CW933QSJ,R3U2W1KEOZD3ZR,Loving it.,,Great sound!,是,5,CCH,2025-01-22
US,B0CW933QSJ,R2INKB0KT3NRWW,Awesome Speaker,,I use my speaker to listen to music and the sound is incredible. I also use it when I talk on the my cell phone. It is a great thing to have for seniors who have trouble hearing some phone conversations. It is easy to charge. A perfect size Easy to connect with Bluetooth. I did it myself and I’m 80.,是,5,Julie S,2025-01-21
US,B0CW933QSJ,R23LGTLESW140K,Good bass and sound,,My wife complains its too loud. We have the storm blast too and that shakes the house but this is a good middle ground. Charge lasts a long time as well. I like more bass and this could have a little more but great for its size.,是,5,Link conger,2025-01-19
US,B0CW933QSJ,ROQ2DT24E38PU,Great for sm-md room,,"App is useful for tone equalization
<br>Nice bass for the small size
<br>Excellent value
<br>Very mobile
<br>Ok outside
<br>No problem with connection
<br>Shutdown control on app",是,4,dovlandau67,2025-01-19
US,B0CW933QSJ,R20XWZKH2PJRLK,Superb,,"I've always liked the original version of this speaker I purchased 6+ year s ago (back when Tribit called it the ""XBoom""), so when I decided I wanted to add another Bluetooth speaker (without spending a fortune), this seemed like an obvious choice. Most reviews say the ""Rev 2"" is even better than the original, and I agree! Sound is crisp and clean, bass is adequate without the ""bass boost"" feature. Highly recommend!",是,5,RF456,2025-01-17
US,B0CW933QSJ,R4PHI533GAF2T,Excellant sound quality,,"This is the opinion of the audiophiles in the family who have musical degrees. We were very pleasantly surprised that it exceeded expectations. Easy to use even for this senior citizen. If you can’t have a sophisticated system, this will likely keep you happy.",是,5,Carole in Virginia,2025-01-13
US,B0CW933QSJ,R9XTC03628VCW,Wow!!,,"I bought this speaker on sale expecting it to be your run of the mill Bluetooth speaker, you know sounds ok, not great, need something for the beach, fishing camping etc. How surprised was I when I charged it up and connected my phone to it and the sounds coming out. It sounded great in my kitchen, I took it outside into my garage and worked outside for a few hours and I adjusted the volume and even my neighbor come over to say the speaker sounded great. Great purchase, you can sync two of these together for stereo sound and they are water resistant and dust proof so they can go with you wherever. I have taken mine fishing, camping, on picnics and have dropped it and it plays great for a long while. If your not driving it at loud volumes, it will last all day and sound great. This speaker is a great deal for the sound and durability you get.",是,5,Rainman,2025-01-12
US,B0CW933QSJ,RUEPDJIRKKVJP,Is ok but sometimes it doesn't charge,,It ok,是,4,Juanlopez,2025-01-11
US,B0CW933QSJ,R34B5V9VZUN6BC,Pathetic,,I am so disappointed in this thing. I believed the other reviews but shouldn't have. It has zero bass is very tinty. What a waste.,是,1,jhinson92,2025-01-08
US,B0CW933QSJ,R13BGUMZSTPNOQ,Liked it so much I bought another one!,,"We had a storm box for years..... Eventually, a speaker started failing and making noise on certain notes/songs...... So we ordered a new one. No complaints about the old one! It lasted a long time.",是,5,Laurie F,2024-12-29
US,B0CW933QSJ,R3OE5JE0JAVND3,Malfunctions,,"Keeps turning on without pushing the button, then turning off after inactivity. So I can’t have it in the same room at night because it makes a loud startup noise. I have taken very good care of it and have hardly used it.",是,1,Jeffrey,2024-12-26
US,B0CW933QSJ,R264QMXZ4V6YVR,Super,,"Used it for Halloween Trunk or Treat, good volume and sound quality",是,5,Cottontail,2024-12-19
US,B0CW933QSJ,R2ICTTC9ZCP6CQ,False advertisement,,On the box it say 24 hr battery life and doesn't even last 4hrs i got this speaker because it advertised long battery life so I don't have a speaker dying when I'm at work doing a long shift vary disappointing,是,1,Daniel M.,2024-12-16
US,B0CW933QSJ,R1HGZ0J5QV26V2,Amazing!,,"Sound quality + bass! I enjoy Christian music and light rock, I cannot ask for more across the spectrum. Because it is 360 degree, I bound one side off a wall for greater spaciousness. Out performs JBL Charge 3 by a lot. Battery life, not sure yet :) but seems fine.",是,5,SFbay,2024-12-12
US,B0CW933QSJ,R21BBLH9QKJPVJ,"too much bass on bass mode, but good flat response in normal mode.",,it makes me want a second one if it wasn't so expensive,是,5,Joseph Festa,2024-12-12
US,B0CW933QSJ,R38C6K14FO0L5T,Worth the price,,"Overall, I’m very pleased with the sound quality of these speakers, I purchased two to pair for stereo use. The pairing and connectivity to Bluetooth were very easy. The EQ app really allows you to adjust the audio to your liking, especially for the low end. With a little tweaking you can get more base than the base boost setting. I love the portability of these speakers, truly great sound on the go!",是,5,Randall,2024-12-10
US,B0CW933QSJ,R3BOF7TM2W2LEN,Best one for the price,,"This was the 5th one we’ve been getting in my close circle as it is a really great Bluetooth speaker and friends and family want their own after seeing the performance. For the price, not sure you can do better",是,5,Amazon Customer,2024-12-09
US,B0CW933QSJ,R1T3WNJVFY3D6K,Perfecta ,,Está pequeña me acompaña en el trabajo todos los días y es excelente,是,5,Amazon Customer,2024-12-06
US,B0CW933QSJ,RZ1JO88D2BUGF,"Really good sound, let me impressed",,"Really Good quality sound, will say is at jbl charge levels, well made quality.
<br>Jbl charge 5: IP67 if not wrong and sound little bit better but not a big difference
<br>Trivit: cheaper, better quality of build, little louder, and smaller.",是,5,Nicola,2024-12-01
US,B0CW933QSJ,R2TGDDVJTSG2DN,Loud!,,Great speaker! Custom EQ settings in the Tribit app really take this speaker to another level! Using it on my neighborhood cruising golf cart. May get another one to go full stereo and really embarrass my kids with my song choices!,是,5,USA,2024-11-13
US,B0CW933QSJ,R1SZFFKFYLW5X8,Sonido impresionante ,,Es como se describe ya había tenido experiencia con otra bocina tribit pero esta esta mucho mejor el sonido es muy bueno los bajos excelentes estoy pensando comprarme otra.,是,5,Ernesto orantes,2024-10-26
US,B0CW933QSJ,RAOBA2T2T1NG5,Audio delay when using the 3.5mm aux input,,"Nice sounding unit but there is a noticeable delay when plugging into the 3.5mm aux input. I confirmed it is the speaker by trying another cable, source and finally another speaker with a 3.5mm aux input.
<br>
<br>If you’ll only use it with Bluetooth it’ll be fine. Aux input, you’re sunk",是,2,Cat Kim,2024-10-26
US,B0CW933QSJ,R137C2DX1OOYVE,Amazing speaker!,,"I watched plentyyy of YouTube comparison videos before deciding to purchase—Tribit definitely had amazing reviews and held up to speakers like JBL, so I decided to try it out.
<br>
<br>But which Tribit to buy? Should I go with 360 sound or something more directional?
<br>
<br>In many video comparisons, 360 had an “airy” sound that I was slightly hesitant about but I decided to go with it because I sometimes have people over, plus I may move around in a room quite a bit while listening alone.
<br>
<br>I was NOT disappointed! The sound is excellent and I highly recommend",是,5,Charlotte,2024-10-22
US,B0CW933QSJ,R20HYH9R9KIKJS,Excellent sound!,,"High quality speaker, will pair with bluetooth on Apple products. I have two for stereo sound!
<br>Excellent battery life. Highly recommended!",是,5,K. A. Chappell,2024-10-17
US,B0CW933QSJ,R3QOYCSNR551GD,It works,,Not the sound quality of the older models…,是,3,Andrew Rodbell,2024-10-15
US,B0CW933QSJ,R2DHX8TSC0Z962,Decent,,"Good battery life. Around 80 to 100ft connectivity depending on device. Sound quality is not the best. The x bass feature is only noticeable at lower volumes, but works well. At full volume the experience is less than previous models like stormbox micro 2 at full volume.",是,3,OSO FRESH,2024-10-14
US,B0CW933QSJ,RPHZ6BFMZZVCP,Love it,,I love this cute little BT speaker. Sounds really good and have yet to use up the battery (I charge if after every use). For the price and size it is great.,否,5,ErikW,2024-10-12
US,B0CW933QSJ,R1135MS2IK4Z8D,"Portable, good sound, easy pairing.",,Portable speaker with really good sound quality. The bass button is my preferred setting. Easy to pair with Bluetooth.,否,5,GDK,2024-10-04
US,B0CW933QSJ,R2NOIU1ZBBDHPE,Sounds great,,"Quality great sound and affordable. Everything about the speaker is great made well, battery works great easy to sync and use.",是,5,Von,2024-10-04
US,B0CW933QSJ,RQW9DLWK31FFX,Room filling sound from small speaker,,Tribit Storm 2 is an amazing small portable bluetooth speaker. The sound is truly 360° and fills an entire room. Its clear and full with bass as well. Its a must buy and great value!,是,5,Rich Q3,2024-10-03
US,B0CW933QSJ,R30LQEY7RANNIV,great price,,"love the sound ,well built",是,5,john,2024-10-02
US,B0CW933QSJ,RYRMG43AS94PD,Good quality,,This product is manufactured very well. It’s not cheap. It’s built very good. It sounds very good. The battery lasts a long time. I like it and I enjoy it. I recommend anyone to get one or even the bigger models.,是,5,toejamboy,2024-09-25
US,B0CW933QSJ,R1JM2JDZXBLJBY,Sounds cheap,,You get what you paid for basically. It's cheaply made and the sound quality is very subpar,是,2,Ronnie Walker III,2024-09-20
US,B0CW933QSJ,RUM1F6E0WQQDF,Newest Version of Speaker,,Sound Quality for the latest version of quality of speakers in the market,是,5,RJ Flores,2024-09-15
US,B0CW933QSJ,R3CT4L443QRNA7,Works great,,Works like new,是,5,Simon Cheo,2024-09-09
US,B0CW933QSJ,R1B2H793TTOXCC,"Powerful Sound, Less Cost",,"I found this product searching for the best rated Bluetooth speakers and this brand was recommended. Compared to the excellent but very expensive JBL, this speaker is a superior choice. I lost my JBL and purchased this speaker as a replacement - it exceeds my expectations. Great, rich sound in all directions, long lasting battery, very loud, cool app for smartphone. It seems to like being charged by a computer USB as opposed to a wall charger and will play while being charged. Great value. Highly recommended.",是,5,98Dawg,2024-09-09
US,B0CW933QSJ,R1FP17NU3QSOJM,"nice sound, BUT!",,"Has a nice sound, but, not better than the smaller stormbox.",是,3,Rich Sisson,2024-09-09
US,B0CW933QSJ,R1C6FPV3IXZLBC,"Very good, bassy sound!",,"The speaker itself sounds very good, and even has a button that lets you add extra bass to it! I, however, have found issues with it fighting between the AUX input for my computer and the bluetooth on my phone. Sometimes I'll be playing something on my computer and my phone audio starts to play for no reason.
<br>Other than that little gripe, it works great.",是,4,Andrew,2024-09-08
US,B0CW933QSJ,R3GB7JF0L1A73U,The sound is great,,I really like the speaker great sound and very small to take with you it's great for the shower also,是,5,Vicki,2024-08-30
US,B0CW933QSJ,RJVN6OAOLSM71,Excellent Quality,,For the size of the product the sound is very good and takes up minimal space. I do enjoy using it outdoors and inside. Not designed to be left in rain or wet environment but can be used outdoors with proper care. Very easy to use.,是,5,Love My 55,2024-08-28
US,B0CW933QSJ,RJSM1DHEFD3SW,"Solid sound, not perfect",,"Improved sound over original Tribit Stormbox
<br>
<br>Solid bass performance, mids a bit too recessed
<br>
<br>Highs are a bit brittle and can be slightly harsh
<br>
<br>Overall, solid speaker when on sale around $40, built quality is outstanding and easy to use
<br>
<br>Compared to JBL charge and flip, this Stormbox2 holds its own, but lacks midrange and treble clarity of the JBLs, but at a better price point. Lacks clarity and sound quality of Tribit maxsound and xsound speakers though.",是,4,Dr. Ace Farley,2024-08-27
US,B0CW933QSJ,RJTBJ7MJKDBIZ,Super impressed!,,"I wanted a little speaker for the beach so I thought I'd try this and it did not disappoint! Great battery life,, great sound, buttons are soft and fun to push. Also great size!",否,5,Chilly,2024-08-24
US,B0CW933QSJ,R2SW26GZYDI3S6,Great sound,,"Speaker goes every where and sounds great.
<br>Love it!",是,5,Alan S,2024-08-24
US,B0CW933QSJ,R22BVEJX99800L,"Solid Speaker, Especially For The Price",,"For $69+, you will not go wrong with the Tribit Stormbox 2. I paid for this with my own money. The sound quality for a $69 speaker is excellent. It gets loud with the 34 watts, loud enough to be heard just fine over a group of drunks. It has the latest Bluetooth 5.3 and connects fast. There is a ""bass booster"" button that does audibly bump up the bass-- look for $69 you aren't gonna get some deep bumping beats. But it's good enough. You can connect to the app and customize the sound settings. It's IPX7 so it will probably be fine if you drop it in the pool. And they claim the battery lasts 24 hours, I'm assuming this is at mid volume and the bass booster off. Bottom line, it would be hard if not impossible to find a louder, better sounding speaker at this price point. Plus it's waterproof and has a great battery.",是,5,Andrew R,2024-08-06
US,B0CW933QSJ,R1Q62U008MLL6S,Good product,,Good value for money.,是,5,Hemant P. Bhanushali,2024-08-02
US,B0CW933QSJ,R32CMA34J8LVK9,The Sound is Amazing!,,The media could not be loaded.     The sound quality is amazing especially when riding around town on my e-bike. It fits perfectly inside the drink holder on my Evi bike allowing me to hear music while riding. It’s safer than headphones because you can still hear what’s going on around you while riding.,是,5,CJ SMITH,2024-08-01
US,B0CW933QSJ,R16PVFDWAZ7TVW,Nice Outdoor Speaker,,"I really like the speaker, it has nice sound. Love that it is water and dust proof. I wish the bass was a little deeper, but it is fine for most music.
<br>
<br>I did find that if I mounted the speaker between the handlebars of my bicycle, it interrupted the signal to my bike's wireless computer (speedometer/odometer). So I needed to mount the speaker is elsewhere on my bike.",是,4,Paul Hagstrom,2024-08-01
US,B0CW933QSJ,R166IUO1CE95UM,Mixed Results; Bike Water Bottle Holder Friendly!,,"The good: The overall construction of the product is amazing. You can tell that it is very tough. I've rode my bike through the rain with this speaker on over an hour without any issues with performance, and it still looks brand new. The mesh cloth is very durable coming in and out of the water bottle cage and feels like it'll last a long time. The product is very heavy which I regard as a positive in terms of durability.
<br>
<br>I like the simplicity of the controls. You can skip songs simply by double clicking the middle circle button so it's easy to use while riding a bike without getting distracted. This was a definite advantage of this unit over others I looked at.
<br>
<br>The bad: Within just a few uses the strap that you use to pull the speaker in and out of position snapped off. It is held together by a very flimsy button. This part is critical for getting the speaker in and out of the side of your backpack, a bike, water bottle, cage or wherever else you use to store it and was one one of the key reasons why I bought the product.
<br>
<br>I wish they would have designed it with only one passive subwoofer portion coming out of the top. When you're using the speaker outdoors, you lose a 50-60% of the bass unless the speaker is sitting on a perfectly hard surface, (This is a really poor design decision since speakers like these are mostly used outdoors while biking, hiking, going to the beach, etc. Where the speaker is often not used on a perfectly flat surface.). In contrast, when I bring the speaker indoors and use it on my office desk, the bass is overwhelming.
<br>
<br>A simple design change to include only one passive woofer on top would have resolved much ofthis issue and yielded a better quality product in my opinion.
<br>
<br>The audio is a little bit ""tin-y"" compared to a Cambridge angle speaker I purchased for about half the price and half the wattage from 3 or 4 years ago. But the bass performs better on this unit (indoors) and this works much better in a water bottle cage on a bicycle. It also has USB-C which my old speaker did not. If you're like me and can't stand carrying around two kinds of cables, USB-C is a must.
<br>
<br>Overall I would give this 3 and 1/2 stars. For the price I was expecting a little bit higher quality sound, but given how perfectly it fits onto my bike, I'm happy.",是,3,Ryan C.,2024-07-31
US,B0CW933QSJ,R24DS8OMQZA09Y,Best of a Crowded Field,,"I've tried about 5 different brand makers of bluetooth speakers, and this very reasonably priced TriBit StormBox 2 has incredible sound, extremely long battery life, and great fidelity.",是,5,Steve of Colorado,2024-07-30
US,B0CW933QSJ,R2MPQSC697O317,Has great sound no matter what it is playing,,"This Bluetooth speaker has very nice sound quality. This is thin enough for me to hang it on my freezer door so that I can hear the music through the apartment. The sound volume is on one side and the on/off and base is on the other. If you have it playing loudly, it can shake what it is sitting on. I will say that I have been told a time or two to turn it down. This speaker will also hook up to the television set. What I like to use it for is taking it down to the pool so I can leave my phone in the apartment and just bring out my speaker. It has a long range before it begins cutting out due to connectivity.",否,5,GetStitched,2024-07-27
US,B0CW933QSJ,R3DDLKUN2AV0GF,Second Stormbox owned,,Loved my first Tribit Stormbox speaker and lost it but this one rocks too. I have several different types and the sound on this one blows all of my other ones away for the size and price. Even my JBL speakers. If I can pair and play 2 at once these will be the best in my opinion. Making this summer the best!! Only issue is pairing it with my phone but I think it's my phone's problem.,是,4,Laura,2024-07-25
US,B0CW933QSJ,RI2GM28G8ANK2,"Sound is great, BT connection is kind of frustrating",,"I had the earlier version of the stormbox and the BT connection was pretty much bullet-proof. I gave that one to my son and bought this Stormbox2 thinking it would be the same only with some improved sound. They both sound great, but the new seems to lose the BT connection and does't reconnect as easily. The old one would just reconnect flawlessly every time I turned it off and on. The SB2 sometimes just reconnects, but mostly disconnects and is a pain to get it reconnected. It like to connect for calls only and not for music. My BT settings are set for both, but it usually takes 2 or 3 times for it to connect for music. that is really why you buy a speaker. I've only had it a few days so maybe it will pan out as I use it, but it is kind of frustrating as of now......",是,3,tdub88,2024-07-19
US,B0CW933QSJ,R1S41FKHJXXPLN,Not as loud as I had hoped,,"Using this at home while doing house work, it is loud enough for my small home but it left me wanting more power. I think my little 10w has more power than this does even at a full charge.",否,4,Lucien Leveille,2024-07-17
US,B0CW933QSJ,R27S1XK54TSK15,Decent sound quality for a budget speaker.,,"I got this speaker to take with me on my work trips. The build quality is pretty good. It’s pretty sturdy as well. I have dropped it a few times and it is still working great. The first time I played it I was pleasantly surprised by how good it sounds for a small budget friendly bluetooth speaker. It has pretty clear and clean sound for what it is. It also has decent bass for a small speaker, but don’t expect for it to blow you away or anything. It’s the perfect size for travel. It also fits perfectly in my tech backpack without taking up too much space. The battery life is decent. So far I have been really enjoying my new speaker. It has become my new travel work speaker. I would definitely recommend it if you’re in the market for a good small budget friendly travel speaker.",否,5,LOOSE SCREWZZ &VIEWS,2024-07-14
US,B0CW933QSJ,RBBITMC0NPDBV,Good value for Money,,Great sound for the size of the unit and excellent performance. Battery lasts for hours. I haven't exactly measured it but have been using it for several days without a recharge.,是,5,S. Seelam,2024-07-09
US,B0CW933QSJ,RZFKT8T2HX1FZ,Powerful little Speaker,,"The package for these speakers arrived on time and in great condition. The speaker itself is really amazing, especially for the 360 surround sound and I have two of these now. I am very surprised how powerful these speakers are and this is my introduction to Tribit and I really love this company. I also have now 2 Tribit StormBox Blast but that is a separate review. It is a little bit a same that from a decent distance at 50% volume with or without the XBass outside that it is very quiet but when it is at max it is very impressive. I tested these inside and compared them to two of my JBL Charge 5's at 50% and max volume while the Tribit was at 50% or less and they blew them out of the water and I was watching and testing movies with it. Far distance at half or max volume outside still goes to JBL but the Tribit StormBox 2 I still really love and they do pack a punch. The connectivity and portability are amazing and are easy to use. The battery life is also good but like most speakers be sure not to go above 50 volume if you want the best unless you have these plugged in.",是,5,"Terry Wilkerson, Jr.",2024-07-08
US,B0CW933QSJ,R3P7M1K97BXOA1,"Like Mickey D's, I'm Loving It",,I got this to stream soft music during open houses. It does the job just as advertised and is compact to carry with all of my other open house supplies. Now I have to look into getting a second one to take care of the dual linking.,否,5,Eric,2024-07-07
US,B0CW933QSJ,R3KPON08BQFLDD,Great value for the money,,"Loving this portable Bluetooth speaker system with its powerful bass and long lasting battery. The high quality hardware rivals any of the name brands out there including JVC, LG, and Bose. I had no issues pairing it with multiple sources like my phone, laptop, and desktop PC. The sound seems muffled out of the box, so you really need to install the mobile app to customize the EQ levels to maximize its full potential. Don't even bother with the EQ presets as they're only slightly better than the default setting.",否,5,SIGARM,2024-07-03
US,B0CW933QSJ,R2TRDT8V42FTNN,Fantastic indoor/outdoor speaker. Big sound from a little speaker! It’s really nice!,,"The media could not be loaded.     The Tribit Stormbox 2 is a simply great speaker. The speaker has 360 degree sound with built in subwoofers on each end. The sound is fantastic. It charges fast and will last for 24 hours of playtime. It’s also IXP7 waterproof - so it works indoors or outdoors. It has a nice little strap at the top, great Bluetooth connection, stereo pairing and you can download an app to customize your sound preference. Music is really important at my house - we have 2 family member musicians that live, breathe, eat, sleep and probably dream music. The Tribit is perfect for us to use here at home or take adventuring on a camping trip, etc. We absolutely love the big sound that comes from this little speaker. I hope it works out just as well for you!",否,5,Deb Mericle,2024-06-28
US,B0CW933QSJ,R37MIS7S7JXOKW,Perfect Outdoor Companion - Excellent Sound!,,"This speaker is high-quality and has become my go-to for outdoor gatherings. The surround sound is immersive, delivering clear and powerful audio that fills the space beautifully. The XBass technology adds a rich depth to the music, making every beat more enjoyable. With a 24-hour playtime, I can enjoy music all day without worrying about recharging. It's waterproof and the TWS pairing feature allows me to connect two speakers for an even more impressive sound experience. It is compact, lightweight, and doesn't take up a lot of space when traveling. This speaker excels in performance and durability, making it perfect for any outdoor activity.",否,5,vervepipe,2024-06-23
US,B0CW933QSJ,R641BDRW4KE13,Great Speaker for Inside or Outside,,"This is a waterproof bluetooth speaker. It's about the size of a tall can of soda, but the sound quality is great! It was easy to connect to my Android phone via Bluetooth. The bass on each end is nice. It's fun to watch them go in and out and you can really hear the difference when the bass is turned on or off.
<br>
<br>The sound quality is much, much better than the older Bluetooth speaker we were using. The outside of the speaker is a cloth material, which is wipable. I was disappointed when my toddler grabbed it with peanut butter on her hand, but I was able to wipe it all off. I'd definitely recommend this speaker!",否,5,SF,2024-06-23
US,B0CW933QSJ,R2GS9673WCSND7,Incredible sound,,"The first time I turned this speaker on I was blowb away by the audio quality. I'm no audiophile but I certainly appreciate a good sounding system. This Bluetooth speaker sounds as good as units that are twice the size and 3 times the price.
<br>
<br>I will say that I had a hard time getting this speaker to pair with my galaxy phone and even now still struggle sometimes to connect.
<br>
<br>The user interface is simple and intuitive, no need to memorize the instructions. Very impressive speaker at a great price ($68 at time of review)",否,5,Billy Shakes,2024-06-22
US,B0CW933QSJ,R2ERUUDSQNHVR1,Sound,,Good battery life.decent sound,是,5,dave baunoch,2024-06-18
