"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","descriptionLinks/4/text","descriptionLinks/4/url","descriptionLinks/5/text","descriptionLinks/5/url","descriptionLinks/6/text","descriptionLinks/6/url","descriptionLinks/7/text","descriptionLinks/7/url","descriptionLinks/8/text","descriptionLinks/8/url","descriptionLinks/9/text","descriptionLinks/9/url","descriptionLinks/10/text","descriptionLinks/10/url","descriptionLinks/11/text","descriptionLinks/11/url","descriptionLinks/12/text","descriptionLinks/12/url","descriptionLinks/13/text","descriptionLinks/13/url","descriptionLinks/14/text","descriptionLinks/14/url","descriptionLinks/15/text","descriptionLinks/15/url","descriptionLinks/16/text","descriptionLinks/16/url","descriptionLinks/17/text","descriptionLinks/17/url","descriptionLinks/18/text","descriptionLinks/18/url","descriptionLinks/19/text","descriptionLinks/19/url","descriptionLinks/20/text","descriptionLinks/20/url","descriptionLinks/21/text","descriptionLinks/21/url","descriptionLinks/22/text","descriptionLinks/22/url","descriptionLinks/23/text","descriptionLinks/23/url","descriptionLinks/24/text","descriptionLinks/24/url","descriptionLinks/25/text","descriptionLinks/25/url","descriptionLinks/26/text","descriptionLinks/26/url","descriptionLinks/27/text","descriptionLinks/27/url","descriptionLinks/28/text","descriptionLinks/28/url","descriptionLinks/29/text","descriptionLinks/29/url","descriptionLinks/30/text","descriptionLinks/30/url","descriptionLinks/31/text","descriptionLinks/31/url","descriptionLinks/32/text","descriptionLinks/32/url","descriptionLinks/33/text","descriptionLinks/33/url","descriptionLinks/34/text","descriptionLinks/34/url","descriptionLinks/35/text","descriptionLinks/35/url","descriptionLinks/36/text","descriptionLinks/36/url","descriptionLinks/37/text","descriptionLinks/37/url","descriptionLinks/38/text","descriptionLinks/38/url","descriptionLinks/39/text","descriptionLinks/39/url","descriptionLinks/40/text","descriptionLinks/40/url","descriptionLinks/41/text","descriptionLinks/41/url","descriptionLinks/42/text","descriptionLinks/42/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
,,"UCrIomaVeIfXZOAHfCORvOqg","michael_stout79","https://www.youtube.com/@michael_stout79","michael_stout79",,,,"0","false","2024-08-20T21:56:09.000Z","https://amzn.to/4dOmrBF","https://amzn.to/4dOmrBF","https://eight-sleep.ioym.net/e2BoZ","https://eight-sleep.ioym.net/e2BoZ","https://amzn.to/31TQ2oE","https://amzn.to/31TQ2oE","https://amzn.to/30XazI2","https://amzn.to/30XazI2","https://amzn.to/2pOvU9o","https://amzn.to/2pOvU9o","https://amzn.to/2JX3qlu","https://amzn.to/2JX3qlu","https://amzn.to/2SF7CJ6","https://amzn.to/2SF7CJ6","https://amzn.to/2VgvZhw","https://amzn.to/2VgvZhw","https://amzn.to/2OqPbYD","https://amzn.to/2OqPbYD","https://amzn.to/2IrZuI5","https://amzn.to/2IrZuI5","https://amzn.to/2ALFqMB","https://amzn.to/2ALFqMB","https://amzn.to/30NHvSV","https://amzn.to/30NHvSV","https://amzn.to/2npTk48","https://amzn.to/2npTk48","https://amzn.to/31RdiDB","https://amzn.to/31RdiDB","https://amzn.to/31SC1Yc","https://amzn.to/31SC1Yc","http://store.hp.com/us/en/cat/laptops..","http://store.hp.com/us/en/cat/laptops..","https://shareasale.com/r.cfm?b=127098..","https://shareasale.com/r.cfm?b=127098..","https://www.shareasale.com/r.cfm?b=56..","https://www.shareasale.com/r.cfm?b=56..","http://www.dreamcloudsleep.com/","http://www.dreamcloudsleep.com/","https://www.shareasale.com/r.cfm?b=74..","https://www.shareasale.com/r.cfm?b=74..","https://www.shareasale.com/r.cfm?b=11..","https://www.shareasale.com/r.cfm?b=11..","https://www.shareasale.com/r.cfm?b=45..","https://www.shareasale.com/r.cfm?b=45..","https://t.co/9UqyFShmkW","https://t.co/9UqyFShmkW","https://www.goldbely.com/","https://www.goldbely.com/","https://inst.cr/t/dxdNUT33A","https://inst.cr/t/dxdNUT33A","http://fbuy.me/iCGIp","http://fbuy.me/iCGIp","https://www.shipt.com/groceries/?r=CE..","https://www.shipt.com/groceries/?r=CE..","https://t.co/9UqyFShmkW","https://t.co/9UqyFShmkW","http://yummybazaar.refr.cc/michaelstout","http://yummybazaar.refr.cc/michaelstout","https://t.co/9UqyFShmkW","https://t.co/9UqyFShmkW","https://hi.winc.com/seqx47etfg5","https://hi.winc.com/seqx47etfg5","  / dvwbg  ","https://patreon.com/invite/dvwbg","https://hi.winc.com/seqx47etfg5","https://hi.winc.com/seqx47etfg5","  / dvwbg  ","https://patreon.com/invite/dvwbg","https://pwnage.com","https://pwnage.com/","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","https://www.youtube.com/playlist?list..","#Amazon","https://www.youtube.com/hashtag/amazon","#unboxing","https://www.youtube.com/hashtag/unboxing","#bluetoothspeaker","https://www.youtube.com/hashtag/bluetoothspeaker","‪@amazon‬","https://www.youtube.com/@amazon","00:13:33",,"#bluetoothspeaker","#unboxing","#Amazon","4xPexsuk0hU","https://www.youtube.com/watch?v=4xPexsuk0hU&t=530s",,"39",,"110000",,,,,,"Amazon Link:  https://amzn.to/4dOmrBF

Tribit Portable Bluetooth Speaker StormBox Mini, 12W Wireless Speaker with Bluetooth 5.4, 360° Surround Sound, XBass, IPX7 Waterproof, LED Lights, Type-C, TWS Pairing, 12H Playtime for Home/Outdoor

+++MORE GOODIES++++++++

EIGHT SLEEP POD:  https://eight-sleep.ioym.net/e2BoZ

Amazon Business: https://amzn.to/31TQ2oE

Free Twitch Loot for Xbox, PS4: https://amzn.to/30XazI2

EBT CardHolders 5.99 Prime: https://amzn.to/2pOvU9o

30days free amazon music: https://amzn.to/2JX3qlu

2 FREE audible books Amazon Kindle: https://amzn.to/2SF7CJ6

Amazon Home Services: https://amzn.to/2VgvZhw

Kindle Unlimited: https://amzn.to/2OqPbYD

Amazon Wedding Registry: https://amzn.to/2IrZuI5

Amazon Romance: https://amzn.to/2ALFqMB

Prime Channels: https://amzn.to/30NHvSV

Amazon Family: https://amzn.to/2npTk48

Prime Student: https://amzn.to/31RdiDB

Amazon Baby Registry: https://amzn.to/31SC1Yc

HP Gaming Desktop Deals: http://store.hp.com/us/en/cat/laptops...

FanChest Link: https://shareasale.com/r.cfm?b=127098...

DollarBig Discount: https://www.shareasale.com/r.cfm?b=56...

DreamCloud Huge Savings: http://www.dreamcloudsleep.com/ 

Fuggin Vapor: https://www.shareasale.com/r.cfm?b=74...

Apollo Box: https://www.shareasale.com/r.cfm?b=11...

Gazelle Discounts: https://www.shareasale.com/r.cfm?b=45...

Free Uber Ride: Promo Code  ( uberstout ) 

AMAZON Wish List https://t.co/9UqyFShmkW

Ten Dollars off  

promo code  (michaelcobbler10 )

https://www.goldbely.com/

  InstaCart 10 dollars off: https://inst.cr/t/dxdNUT33A  

(MSTOUT2AC150)

GrubHub 7 dollars off:  http://fbuy.me/iCGIp 

https://www.shipt.com/groceries/?r=CE...

AMAZON Wish List   https://t.co/9UqyFShmkW

10 dollars off YummyBazzaar  

http://yummybazaar.refr.cc/michaelstout

AMAZON Wish List https://t.co/9UqyFShmkW

FOR A FREE BOTTLE OF WINE: https://hi.winc.com/seqx47etfg5

PATREON:   / dvwbg  

FOR A FREE BOTTLE OF WINE: https://hi.winc.com/seqx47etfg5

PATREON:   / dvwbg  

GEEK FUEL: geekfuel.com/stout79

PWNAGE: https://pwnage.com?rfsn=504793.392e00

SAVE 15% COUPON CODE: THESTOUT79

ALSO CHECK OUT MY PLAYLIST:

UNBOXING VIDEOS:

https://www.youtube.com/playlist?list...

TTM SUCCESS VIDEOS:

https://www.youtube.com/playlist?list...

MAILDAY VIDEOS:

https://www.youtube.com/playlist?list...

RETRO GAMING:

https://www.youtube.com/playlist?list...

#Amazon
#unboxing 
#bluetoothspeaker  




‪@amazon‬","https://i.ytimg.com/vi/4xPexsuk0hU/maxresdefault.jpg","Tribit Portable Bluetooth Speaker StormBox Mini (EPISODE 4667) Amazon Unboxing Video","video","https://www.youtube.com/watch?v=4xPexsuk0hU&t=530s",,"6942",
"@MrMajinbu","false",,,,,"Ugwt1clWKKPoh1SHai94AaABAg","This dude is probably the poster child for good YouTube reviewers who sold out",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","1",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"104"
"@paulkersey6283","false",,,,,"UgxJBAhXdWGF9f1dfqB4AaABAg","Love when somebody pays you for everything you say..",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","6",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"140"
"@CricketEngland","false",,,,,"UgzCAqIwo-j1arohepB4AaABAg","Another full advert on the channel I see",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"51"
"@DexterDavidDexterSD","false",,,,,"Ugwyi6sHlhZQtB1MXGN4AaABAg","This reminds me of corporate. You start off trying to solve a real world problem. Then you go public, investors come in and your company's only goal is to make profit. They don't give a shit about solving the problem they originally set out to solve. They don't care about customers or employees. Just profit. Filling shareholder pockets. Even if that means driving the company into the ground. That is what is happening with unbox therapy. Riding off the wave of it's original popularity to make a quick buck before it goes into the ground",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","4 months ago","1",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"6"
"@hil_silva","false",,,,,"UgzZzEuONDVGc0MnNWx4AaABAg","Nice. But when are you going back to actually reviewing tech?",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","6",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"65"
"@0Issy4eva0","false",,,,,"UgxUF0rI_dwrlZ5x7uJ4AaABAg","You have sold your soul.",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"9"
"@jer103","false",,,,,"UgyPYY_Wcrc8EmHzOkJ4AaABAg","They currently run $300 plus tax.",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"13"
"@BookOfEli_327","false",,,,,"UgylGheebDBnqJaFYmp4AaABAg","Showing a clip of Lew later which I miss. You should have kept going with the podcast. It was delightful",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"2"
"@Pienimusta","false",,,,,"Ugwjk_wfFO2yRmywwCV4AaABAg","Member when this channel was relevant?
I don't memba.",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"10"
