"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@Kt-dw5gv","false",,,,,"UgyggNO1CkG12Zy-_xB4AaABAg","How good is the sound quality? Is it really worth to buy it for deep bass and clear sound for indoor/outdoor trekking?",,"6",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/DKI_uKrHFg4","5 months ago","1",,,,,"Unboxing the TRIBIT StormBox 2 Bluetooth speaker.","comment",,"DKI_uKrHFg4",,"1"
"@gixi430","false",,,,,"UgzKFv2XwVPmLjYcNDt4AaABAg","Hey bro!Can you help me with a question since you know far more than me?I prioritize ANC and comfort and I have these options;(edifier WH950NB, sony wh750b, 1more sonoflow, anker soundcore q30 and space one)what option is better?you can sugest something else if you know",,"6",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/DKI_uKrHFg4","7 months ago","3",,,,,"Unboxing the TRIBIT StormBox 2 Bluetooth speaker.","comment",,"DKI_uKrHFg4",,"1"
"@gihanperera8101","false",,,,,"Ugz0YGhfISi9K6QehPh4AaABAg","Like the speaker.. Great size and hope the sound also. TFS",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","1 month ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"0"
"@ariyapalaadas786","false",,,,,"Ugxc0hOMlyybm_ZDElF4AaABAg","Awesome 🎉",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","2 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"0"
"@spidee3764","false",,,,,"Ugy_3qYI0RMVvKmi0mF4AaABAg","like Tribit speakers. Got the Micro speaker from them and happy with it.",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"1"
"@projectu2059","false",,,,,"Ugx8PkTvsEW6pwdxJ2J4AaABAg","Great review..! Thanks for sharing.!👌",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"1"
"@gadgetgeek1265","false",,,,,"UgzxCgJb1ct61TbQzQx4AaABAg","Seems good speaker for the price. Thanks for sharing",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"1"
"@dil._hara.","false",,,,,"UgyBE0Rmf6EXASQU85Z4AaABAg","Great Review!",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"1"
"@linxdean","false",,,,,"Ugxro44IoCHSfEuTDMJ4AaABAg","How does the built quality hold up overtime with frequent use? Thanks",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","1 month ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"0"
"@eprohoda","false",,,,,"UgzGBaP9cythpjBhDoF4AaABAg","Hi. Tech.  how perfect . :))",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0",,,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","comment",,"4-LBZ6_JkVo",,"1"
