"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","date","descriptionLinks","duration","formats","hasCreatorHeart","id","input","isMonetized","likes","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@DharmendraSingh-hj3eh","false",,,,,"UgwLS3Xpx4L4mlb4boh4AaABAg","Kaha se purchase kare",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","3 days ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@paritoshjana7701","false",,,,,"UgwlFDZT_DafNS1lQ_x4AaABAg","new lounch tribit strome box lava 80w unboxing",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","7 days ago (edited)","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@Amantopno562","false",,,,,"UgzUb8Z35eiv39Tk_qJ4AaABAg","JBL party speaker 100 vs tribit boom box 200w❤ please bro",,"25",,,,,"true",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"4"
"@sagardutta8061","false",,,,,"UgyyH3j-ZebBM_F8wOR4AaABAg","26k 😢 out of syllabus😅",,"25",,,,,"true",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"4"
"@naveenboddu410","false",,,,,"Ugym6WLg7waSD8ENfnh4AaABAg","To guys out of budget buy zebronics zebfest 500 50w speaker  punchy bass and clear treble avg vocals more than enough volume.

I am very happy for ₹ 3000 inr",,"25",,,,,"true",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"2"
"@antaramandal1725","false",,,,,"UgxYhRfasRnqtUYlABp4AaABAg","Bhaiya ye Boat Partypal 390 se better h kya?",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","2 months ago","1",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@dimasarahulhafila9082","false",,,,,"Ugx5had8QMS1BWBmBkt4AaABAg","Jbl 100 or blast 2 ?",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","3 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@awdheshkumargupta5907","false",,,,,"UgxxB7Oc4CN-L-s_n8l4AaABAg","Super sir ji ♥️",,"25",,,,,"true",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@OfficialPriyanshuff","false",,,,,"UgyYgNtmNsMXyA1uuiR4AaABAg","Teardown please❤❤❤",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","1",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@Itzme5454","false",,,,,"Ugwu7CByjekBQVW6J-94AaABAg","You have❤",,"25",,,,,"true",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","0",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
"@Cat-if4uc","false",,,,,"UgykqaHY4-A3NciQGc14AaABAg","Compare this with JBL partybox encore essential bro",,"25",,,,,"false",,,,,"https://www.youtube.com/shorts/kMEXXKP9xWk","4 months ago","2",,,,,"Tribit Stormbox Blast 2 200W Monster Speaker #Unboxing #Shorts  #Gadgets","comment",,"kMEXXKP9xWk",,"0"
