Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
xfree,5,2,301000,17,0.00,https://tribit.com/collections/xfree,13244,54.01,0.00,0,72,"[36,44,54,54,44,44,66,81,100,36,81,81]",2025-03-30,Sitelinks,"informational, transactional",Organic
tribit stormbox blast,1,1,1900,52,0.50,https://tribit.com/products/tribit-stormbox-blast-portable-bluetooth-speaker,1520,6.19,760.00,1,511000,"[43,36,54,65,65,81,54,29,36,43,43,29]",2025-03-23,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, People also ask, Related products, Related searches, Discussions and forums, People also search",transactional,Organic
tribit,1,1,1900,39,0.23,https://tribit.com/,1520,6.19,349.00,1,2570000,"[16,13,19,19,24,16,19,16,24,19,19,16]",2025-03-25,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Discussions and forums",navigational,Organic
tribit speaker,1,1,1300,21,0.32,https://tribit.com/collections/speakers,1040,4.24,332.00,1,1570000,"[41,36,36,54,54,66,54,36,54,66,79,66]",2025-03-27,"Image pack, Sitelinks, Reviews, Video, Image, Shopping ads, People also ask, Popular products, Related searches, People also search","informational, transactional",Organic
tribit headphones,1,1,1000,37,0.24,https://tribit.com/collections/vendors?q=tribit,800,3.26,192.00,0.07,1200000,"[3,2,2,3,3,4,3,3,100,7,3,66]",2025-03-28,"Image pack, Reviews, Video, Image, Popular products, Related searches, Discussions and forums, People also search","informational, transactional",Organic
tribit stormbox,1,1,1000,30,0.38,https://tribit.com/collections/stormbox,800,3.26,304.00,1,858000,"[37,46,46,52,84,68,52,52,46,52,52,46]",2025-03-23,"Image pack, Sitelinks, Video, Image, Shopping ads, People also ask, Popular products, Related searches, Short videos, Discussions and forums, People also search",navigational,Organic
tribit stormbox micro 2,1,1,880,52,0.50,https://tribit.com/products/tribit-stormbox-micro-2-portable-speaker,704,2.87,352.00,1,277000,"[55,45,55,76,76,100,100,55,45,76,100,76]",2025-03-19,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, Shopping ads, People also ask, Related products, Related searches, Discussions and forums, People also search",commercial,Organic
tribit earbuds,1,1,590,38,0.27,https://tribit.com/collections/earbuds,472,1.92,127.00,1,1130000,"[7,5,7,5,5,4,5,5,8,2,100,5]",2025-03-28,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, People also search","informational, transactional",Organic
tribit flybuds 3,1,1,390,33,0.26,https://tribit.com/products/tribit-flybuds-3-true-wireless-earbuds,312,1.27,81.00,1,71,"[25,25,16,20,20,31,20,16,31,25,16,16]",2025-03-16,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related products, Related searches, People also search",informational,Organic
tribit stormbox blast 2,1,1,320,42,0.50,https://tribit.com/products/tribit-stormbox-blast-2-portable-bluetooth-speaker,256,1.04,128.00,1,671000,"[2,3,3,6,8,10,16,30,100,55,45,30]",2025-03-21,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related products, Related searches, Short videos, Discussions and forums","informational, transactional",Organic
tribit speakers,1,1,320,42,0.32,https://tribit.com/,256,1.04,81.00,1,1540000,"[13,45,5,8,10,16,8,62,10,10,13,16]",2025-03-09,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, People also search","informational, transactional",Organic
